keys,en,pt,es
BN_RULES,"Fill every cell with a sun or a moon. Never three alike in a line. Every line has an equal count of each, and no two lines are identical.\n\nAn = between two cells means they hold the same symbol. An × means they hold opposite ones.","Preencha cada casa com um sol ou uma lua. Nunca três iguais em linha. Cada linha tem a mesma quantidade de cada um, e não há duas linhas iguais.\n\nUm = entre duas casas quer dizer que elas têm o mesmo símbolo. Um × quer dizer que têm símbolos opostos.","Llena cada casilla con un sol o una luna. Nunca tres iguales en línea. Cada línea tiene la misma cantidad de cada uno, y no hay dos líneas iguales.\n\nUn = entre dos casillas significa que tienen el mismo símbolo. Un × significa que tienen símbolos opuestos."
CB_RULES,"Crack the hidden row of %s friends. %s Tap a friend to seat them, and Check scores the row: a filled pip is a friend in the right seat, a hollow ring a right friend in the wrong seat. Neither says which seat. %s rows, three hints.","Descubra a fileira escondida de %s amigos. %s Toque num amigo para sentá-lo, e Conferir pontua a fileira: um ponto cheio é um amigo no lugar certo, um anel vazio é um amigo certo no lugar errado. Nenhum dos dois diz qual lugar. %s fileiras, três dicas.","Descifra la fila oculta de %s amigos. %s Toca un amigo para sentarlo, y Comprobar puntúa la fila: un punto lleno es un amigo en el lugar correcto, un aro vacío es un amigo correcto en el lugar equivocado. Ninguno dice qué lugar. %s filas, tres pistas."
CB_REPEATS,A friend may sit in it twice.,Um amigo pode aparecer duas vezes.,Un amigo puede aparecer dos veces.
CB_NO_REPEATS,No friend sits in it twice.,Nenhum amigo aparece duas vezes.,Ningún amigo aparece dos veces.
CB_NUM_2,Two,Dois,Dos
CB_NUM_3,Three,Três,Tres
CB_NUM_4,Four,Quatro,Cuatro
CB_NUM_5,Five,Cinco,Cinco
CB_NUM_7,Seven,Sete,Siete
CB_NUM_8,Eight,Oito,Ocho
CB_TIP_SEAT,Tap a friend to seat them. Check scores the row.,Toque num amigo para sentá-lo. Conferir pontua a fileira.,Toca un amigo para sentarlo. Comprobar puntúa la fila.
CB_TIP_READY,Check when you are ready.,Confira quando estiver pronto.,Comprueba cuando estés listo.
CB_HINT_STAYS,A hinted friend stays where the hint put them.,Um amigo da dica fica onde a dica o colocou.,Un amigo de la pista se queda donde la pista lo puso.
CB_HINT_SITS,This one sits here. That seat is settled.,Este fica aqui. Esse lugar está resolvido.,Este va aquí. Ese lugar está resuelto.
CB_NEED_FULL,Every seat needs a friend before a Check can score.,Todo lugar precisa de um amigo antes de Conferir.,Cada lugar necesita un amigo antes de Comprobar.
CB_SOLVED,Cracked it. Lovely reading of the pips.,Descobriu! Que bela leitura dos pontos.,¡Lo descifraste! Qué buena lectura de los puntos.
CB_LOST,Here it was. Come back tomorrow.,Era este. Volte amanhã.,Era este. Vuelve mañana.
CB_CLEARED,Cleared. Back to row one.,Limpo. De volta à primeira fileira.,Limpio. De vuelta a la primera fila.
