keys,en,pt,es
MENU_MOTTO,Small puzzles\nbrighter days,Pequenos desafios\ndias mais leves,Pequeños retos\ndías más alegres
MENU_TODAY,TODAY,HOJE,HOY
MENU_DAY,Day %d,Dia %d,Día %d
MENU_NO_FLAT,%s is coming soon.,%s chega em breve.,%s llega pronto.
BAR_HOME,Puzzles,Puzzles,Puzles
BAR_STATS,Stats,Números,Datos
BAR_STREAK,Streak,Sequência,Racha
CARD_SOON,SOON,EM BREVE,PRONTO
DIFF_PICK,Pick a board for today.,Escolha um tabuleiro para hoje.,Elige un tablero para hoy.
DIFF_EASY,Easy,Fácil,Fácil
DIFF_MEDIUM,Medium,Médio,Medio
DIFF_HARD,Hard,Difícil,Difícil
DIFF_INSANE,Insane,Insano,Demencial
SETTINGS_TITLE,Settings,Configurações,Ajustes
SETTINGS_REDUCE_MOTION,Reduce motion,Reduzir movimento,Reducir movimiento
SETTINGS_NEW_PUZZLE,New puzzle (prototype),Novo desafio (protótipo),Nuevo reto (prototipo)
BTN_CLOSE,Close,Fechar,Cerrar
RULES_TITLE,How to play,Como jogar,Cómo jugar
RULES_GOT_IT,Got it,Entendi,Entendido
ACT_RESET,Reset,Recomeçar,Reiniciar
ACT_CHECK,Check,Conferir,Comprobar
ACT_ALL_GOOD,All good,Tudo certo,Todo bien
WIN_WELL_DONE,Well done!,Muito bem!,¡Muy bien!
WIN_REDO,Redo,De novo,Otra vez
WIN_BACK,Back to camp,Voltar,Volver
WIN_NEXT,Try %s,Tente o %s,Prueba el %s
HOST_SOLVED,Solved,Resolvido,Resuelto
HOST_STATS,%.1fs  ·  %d moves,%.1fs  ·  %d jogadas,%.1fs  ·  %d jugadas
KEY_ENTER,Enter,Enviar,Enviar
HW_MOTTO,Find the hidden word,Encontre a palavra oculta,Encuentra la palabra oculta
HW_SHORT,"Five letters,\nsix tries.","Cinco letras,\nseis tentativas.","Cinco letras,\nseis intentos."
HW_TIP,"Five letters, six tries","Cinco letras, seis tentativas","Cinco letras, seis intentos"
